Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
29.0,4.6,21.186884,72.793616,21.226884,72.833616,2,0,1,3,3,0.0,0,2,23
37.0,4.9,11.026117,76.944652,11.056117,76.974652,1,3,0,0,2,1.0,0,0,27
33.0,4.7,0.0,0.0,0.04,0.04,0,0,0,3,2,0.0,0,2,26
31.0,3.9,19.065838,72.832658,19.135838,72.902658,0,2,1,0,3,1.0,0,0,35
37.0,4.6,0.0,0.0,0.04,0.04,5,0,0,1,2,1.0,0,2,41
26.0,4.4,12.98041,77.640489,13.04041,77.700489,2,2,0,0,2,0.0,0,0,23
24.0,4.6,11.022477,76.995667,11.132477,77.105667,3,3,0,3,2,0.0,0,0,30
23.0,4.8,0.0,0.0,0.02,0.02,5,2,1,0,3,1.0,0,0,19
36.0,4.9,0.0,0.0,0.01,0.01,5,2,1,0,3,1.0,0,0,27
39.0,4.8,12.310972,76.659264,12.350972,76.699264,0,0,0,3,2,1.0,0,0,28
20.0,4.7,11.025083,77.015393,11.105083,77.095393,2,3,0,1,2,1.0,0,0,24
20.0,5.0,12.316967,76.603067,12.446967,76.733067,0,1,0,2,2,1.0,0,2,36
29.0,4.3,22.538731,88.364878,22.598731,88.424878,2,2,0,0,2,0.0,0,0,28
36.0,4.8,11.001753,76.986241,11.111753,77.096241,1,3,2,1,2,1.0,0,2,31
36.0,4.0,22.310237,73.158921,22.400237,73.248921,4,1,0,2,2,3.0,0,0,44
22.0,4.8,23.359033,85.325347,23.439033,85.405347,5,2,1,1,3,1.0,0,0,15
38.0,4.4,18.593481,73.785901,18.663481,73.855901,5,3,0,0,2,1.0,0,0,33
39.0,4.9,21.186438,72.794115,21.236438,72.844115,1,1,0,0,2,0.0,0,0,30
24.0,4.9,22.725748,75.898497,22.775748,75.948497,3,3,1,3,3,1.0,0,0,22
30.0,4.1,0.0,0.0,0.07,0.07,1,2,0,3,2,0.0,0,0,43
35.0,4.8,17.450851,78.379347,17.540851,78.469347,1,3,0,2,2,3.0,0,0,48
33.0,4.5,13.081878,80.248519,13.171878,80.338519,3,2,2,1,1,1.0,0,0,19
39.0,4.7,10.035573,76.336958,10.105573,76.406958,5,3,1,3,2,1.0,0,2,21
31.0,4.3,22.308096,73.167753,22.388096,73.247753,5,1,1,1,2,0.0,0,0,44
37.0,4.5,12.975996,80.221898,12.985996,80.231898,5,2,2,1,3,0.0,0,0,26
37.0,4.7,12.3085,76.665808,12.3385,76.695808,5,2,1,0,3,1.0,0,0,26
33.0,5.0,19.178321,72.834715,19.188321,72.844715,5,0,1,2,2,1.0,0,0,31
24.0,4.6,0.0,0.0,0.06,0.06,3,2,2,2,3,1.0,0,2,19
33.0,4.5,26.910262,75.783013,26.990262,75.863013,4,1,1,3,3,0.0,0,0,18
39.0,4.7,25.443994,81.860187,25.513994,81.930187,1,3,2,2,2,1.0,0,0,38
37.0,4.6,23.359194,85.325447,23.449194,85.415447,0,3,1,3,2,1.0,0,0,32
25.0,4.9,17.458998,78.500366,17.508998,78.550366,2,2,2,2,3,1.0,0,0,17
28.0,4.8,18.530963,73.828972,18.590963,73.888972,1,3,1,0,3,1.0,0,2,11
38.0,4.7,12.321214,76.621094,12.361214,76.661094,5,0,2,0,2,1.0,0,0,31
30.0,4.7,26.913483,75.803139,26.983483,75.873139,2,3,0,1,2,0.0,0,0,43
31.0,4.6,12.3085,76.665808,12.3685,76.725808,5,3,0,2,2,0.0,0,0,25
25.0,4.8,19.055831,72.833984,19.115831,72.893984,0,1,2,3,2,1.0,0,0,22
35.0,4.9,12.337928,76.617889,12.407928,76.687889,1,1,0,1,2,3.0,0,0,43
39.0,4.7,23.351489,85.324253,23.421489,85.394253,1,1,0,0,2,1.0,1,0,42
38.0,3.9,22.728163,75.884212,22.808163,75.964212,3,1,1,2,2,0.0,0,0,42
35.0,4.7,13.026286,80.275235,13.056286,80.305235,1,1,1,1,2,1.0,0,0,34
29.0,4.7,26.766536,75.837333,26.786536,75.857333,2,2,1,3,2,1.0,0,0,17
27.0,4.6,21.149834,72.778666,21.179834,72.808666,3,1,1,3,3,0.0,0,0,25
38.0,4.3,12.3085,76.665808,12.3985,76.755808,2,1,0,2,2,1.0,1,1,54
36.0,4.9,21.149669,72.772629,21.219669,72.842629,5,2,2,0,2,0.0,0,0,21
26.0,4.0,17.411028,78.329645,17.451028,78.369645,0,0,1,0,2,1.0,0,0,34
26.0,4.1,26.482581,80.315628,26.572581,80.405628,1,1,2,2,2,1.0,0,0,36
36.0,4.9,12.284747,76.625861,12.344747,76.685861,4,3,1,1,2,0.0,0,0,17
21.0,4.7,26.911378,75.789034,26.921378,75.799034,4,2,0,2,2,1.0,0,0,16
35.0,4.7,13.02978,80.208812,13.10978,80.288812,4,1,2,2,1,1.0,0,0,27
20.0,4.5,12.323194,76.630583,12.363194,76.670583,1,0,2,2,2,1.0,0,0,26
23.0,4.6,18.563934,73.915367,18.653934,74.005367,1,1,0,3,2,2.0,1,0,46
37.0,5.0,22.569367,88.433187,22.629367,88.493187,4,1,0,0,2,0.0,0,0,29
26.0,4.8,12.949934,77.699386,13.009934,77.759386,2,1,0,3,2,1.0,0,0,23
29.0,5.0,21.175975,72.795503,21.255975,72.875503,2,2,1,3,3,1.0,0,2,11
26.0,4.9,22.725835,75.887648,22.835835,75.997648,3,3,1,3,2,0.0,0,0,28
29.0,4.8,18.536562,73.896485,18.596562,73.956485,0,1,0,2,2,1.0,0,0,25
29.0,4.7,23.416792,85.316842,23.436792,85.336842,2,2,2,3,2,0.0,0,0,11
21.0,4.9,30.89286,75.822199,30.92286,75.852199,5,3,1,2,3,1.0,0,0,26
22.0,4.3,12.310972,76.659264,12.330972,76.679264,3,2,0,2,2,1.0,0,0,23
31.0,4.0,26.913987,75.752891,26.993987,75.832891,1,3,1,3,2,2.0,0,0,39
20.0,4.5,11.001753,76.986241,11.021753,77.006241,1,2,1,3,2,0.0,0,0,11
30.0,3.9,22.310237,73.158921,22.390237,73.238921,3,1,2,1,1,1.0,0,0,32
36.0,4.8,12.933284,77.615428,13.003284,77.685428,1,3,0,3,2,1.0,0,0,43
24.0,4.7,12.297954,76.665169,12.337954,76.705169,1,3,1,0,3,1.0,0,0,13
32.0,4.7,12.352058,76.60665,12.362058,76.61665,5,2,2,0,1,0.0,0,0,25
25.0,5.0,13.086438,80.220672,13.146439,80.280672,5,3,1,1,2,0.0,0,0,27
27.0,4.5,17.429585,78.392621,17.469585,78.432621,5,3,2,1,3,1.0,0,0,29
32.0,4.1,12.978453,77.643685,13.048453,77.713685,2,3,0,0,2,1.0,0,0,33
23.0,4.7,13.044694,80.26147,13.084694,80.30147,1,3,1,1,2,1.0,0,2,19
39.0,4.4,12.98041,77.640489,13.11041,77.770489,4,3,0,2,2,1.0,0,0,33
20.0,4.8,0.0,0.0,0.06,0.06,1,1,1,3,2,1.0,0,0,28
20.0,4.8,26.846156,75.8023,26.926156,75.8823,5,3,2,1,1,0.0,0,0,15
29.0,4.6,25.449659,81.839744,25.479659,81.869744,3,1,1,2,3,1.0,0,0,29
26.0,4.9,26.911927,75.797282,27.051927,75.937282,3,2,2,2,3,1.0,0,0,18
25.0,5.0,10.020683,76.310631,10.030683,76.320631,3,2,1,2,2,1.0,0,0,14
34.0,4.7,12.935662,77.61413,12.975662,77.65413,5,3,1,3,2,1.0,0,0,30
31.0,4.9,15.585658,73.743606,15.625658,73.783606,4,0,0,3,2,0.0,0,0,28
24.0,4.7,0.0,0.0,0.13,0.13,1,1,0,3,2,1.0,0,0,39
30.0,4.9,17.429585,78.392621,17.519585,78.482621,0,3,2,2,2,0.0,0,0,30
36.0,4.8,26.766536,75.837333,26.896536,75.967333,2,3,0,0,2,1.0,0,0,36
36.0,4.4,26.846156,75.8023,26.986156,75.9423,1,2,0,3,2,1.0,0,0,37
26.0,4.7,26.913987,75.752891,27.053987,75.892891,0,1,0,2,2,1.0,0,0,43
30.0,4.6,22.310526,73.170937,22.420526,73.280937,4,2,2,0,3,1.0,0,0,29
20.0,4.8,0.0,0.0,0.03,0.03,3,3,2,1,3,1.0,0,0,25
33.0,4.7,12.972532,77.608179,13.022532,77.658179,1,3,2,0,1,1.0,0,2,15
30.0,4.7,0.0,0.0,0.07,0.07,2,1,1,3,3,0.0,0,0,24
34.0,4.0,19.103249,72.846749,19.193249,72.936749,5,1,0,3,2,2.0,0,0,39
36.0,4.6,17.426228,78.407495,17.506228,78.487495,5,2,0,0,2,1.0,0,0,20
33.0,4.6,26.471617,80.313564,26.491617,80.333564,1,2,1,0,2,1.0,0,0,15
22.0,4.8,19.866969,75.318894,19.976969,75.428894,2,2,1,1,2,1.0,0,0,16
38.0,4.7,18.593481,73.785901,18.603481,73.795901,4,2,2,1,3,1.0,0,0,19
27.0,4.9,12.906229,77.596791,12.986229,77.676791,1,2,2,1,3,0.0,0,0,20
32.0,4.8,26.482581,80.315628,26.552581,80.385628,4,1,2,2,3,1.0,0,0,25
26.0,4.8,12.933298,77.614293,13.013298,77.694293,0,1,0,3,2,1.0,0,0,43
29.0,4.5,22.751857,75.866699,22.881857,75.996699,5,2,0,1,2,0.0,0,2,15
31.0,4.5,11.010375,76.95295,11.090375,77.03295,4,1,0,0,2,0.0,0,2,29
28.0,4.6,17.483216,78.552111,17.523216,78.592111,3,0,2,1,2,0.0,0,0,14
21.0,4.8,27.160934,78.044095,27.220934,78.104095,4,3,1,0,2,1.0,0,0,11
21.0,4.0,11.006686,76.951736,11.056686,77.001736,2,2,0,0,2,1.0,0,0,19
30.0,4.9,0.0,0.0,0.08,0.08,5,2,1,1,2,1.0,0,0,29
29.0,4.7,25.457687,81.835585,25.497687,81.875585,0,3,2,0,2,1.0,0,2,11
20.0,4.8,19.12663,72.829976,19.13663,72.839976,4,0,1,3,2,0.0,0,0,14
28.0,5.0,19.875016,75.322405,19.965016,75.412405,5,2,0,3,2,0.0,0,2,15
25.0,4.7,19.178321,72.834715,19.248321,72.904715,2,2,0,2,2,1.0,0,0,16
30.0,4.7,18.536718,73.830327,18.646718,73.940327,1,2,3,0,2,1.0,1,2,43
38.0,4.8,13.026279,80.174568,13.046279,80.194568,3,2,1,0,2,1.0,0,0,20
39.0,4.9,17.455894,78.375467,17.485894,78.405467,3,2,1,1,2,1.0,0,0,26
26.0,4.9,21.149834,72.778666,21.209834,72.838666,5,3,1,3,3,0.0,0,0,26
33.0,4.4,11.022477,76.995667,11.092477,77.065667,5,1,1,2,2,0.0,0,2,43
24.0,4.6,22.310237,73.158921,22.370237,73.218921,2,3,0,3,2,1.0,0,2,25
24.0,4.9,11.010375,76.95295,11.050375,76.99295,1,3,0,0,2,1.0,0,0,28
33.0,4.5,22.745049,75.892471,22.835049,75.982471,3,2,2,0,3,0.0,0,0,17
35.0,4.2,22.74806,75.8934,22.83806,75.9834,5,1,1,1,2,1.0,0,0,44
27.0,4.2,19.178321,72.834715,19.268321,72.924715,3,1,0,0,2,1.0,0,0,33
30.0,4.7,13.054347,80.257221,13.104347,80.307221,0,3,1,3,3,1.0,0,2,19
29.0,4.5,12.979096,77.640625,13.009096,77.670625,4,3,0,3,2,0.0,0,0,15
34.0,4.7,27.163303,78.057044,27.293303,78.187044,1,2,1,0,3,1.0,0,0,27
20.0,4.7,26.482419,80.320939,26.502419,80.340939,0,0,2,2,3,1.0,0,0,25
29.0,4.8,22.310237,73.158921,22.350237,73.198921,4,0,1,1,2,1.0,0,0,18
22.0,4.9,22.307898,73.167788,22.367898,73.227788,3,3,2,3,3,0.0,0,0,21
35.0,4.9,27.160832,78.011608,27.230832,78.081608,0,1,0,0,2,2.0,0,0,53
32.0,4.4,10.027014,76.308053,10.137014,76.418053,2,1,0,1,2,3.0,0,0,42
28.0,4.9,30.890184,75.829615,31.000184,75.939615,4,1,2,3,2,1.0,0,0,20
30.0,4.7,11.003681,76.975525,11.133681,77.105525,1,2,1,2,3,0.0,0,0,29
22.0,4.7,12.986047,80.218114,13.096047,80.328114,3,1,2,3,3,0.0,0,2,15
36.0,4.7,11.006686,76.951736,11.056686,77.001736,1,3,0,0,2,1.0,0,0,30
23.0,4.8,21.15276,72.778059,21.28276,72.908059,5,1,0,3,2,1.0,0,0,28
22.0,4.8,22.753839,75.897429,22.773839,75.917429,3,2,2,1,2,1.0,0,0,19
29.0,4.5,19.876106,75.340775,20.006106,75.470775,2,2,2,2,2,1.0,0,0,15
34.0,4.9,13.005801,80.250744,13.115801,80.360744,2,1,0,0,2,3.0,1,2,50
38.0,4.1,12.933298,77.614293,12.943298,77.624293,3,0,0,0,2,1.0,1,0,41
35.0,5.0,0.0,0.0,0.07,0.07,1,3,0,3,2,1.0,0,0,37
38.0,4.7,0.0,0.0,0.06,0.06,0,1,2,1,3,1.0,0,0,28
32.0,4.3,30.328174,78.049117,30.398174,78.119117,0,3,1,2,3,2.0,0,0,35
20.0,4.5,12.978453,77.643685,13.048453,77.713685,5,1,2,0,2,1.0,0,0,27
25.0,4.9,13.058616,80.264151,13.138616,80.344151,1,1,0,0,2,2.0,0,0,43
29.0,4.5,26.911927,75.797282,26.971927,75.857282,1,2,2,2,3,0.0,0,0,12
32.0,4.7,-27.165108,78.015053,27.225108,78.075053,2,1,2,2,3,1.0,0,0,31
39.0,4.1,0.0,0.0,0.13,0.13,0,1,1,1,2,2.0,0,0,39
31.0,4.4,22.307898,73.167788,22.417898,73.277788,3,1,0,0,2,1.0,0,2,47
37.0,4.5,21.170096,72.789122,21.220096,72.839122,1,2,0,0,2,1.0,0,2,26
36.0,4.9,30.905562,75.832841,30.995562,75.922841,0,3,2,3,1,1.0,0,0,31
37.0,3.8,26.849596,75.800512,26.989596,75.940512,2,1,1,3,2,1.0,0,0,42
30.0,4.7,-18.55144,-73.804855,18.61144,73.864855,3,1,2,2,3,0.0,0,2,12
38.0,4.9,11.003681,76.975525,11.043681,77.015525,0,0,2,3,3,1.0,0,0,25
37.0,4.4,27.163303,78.057044,27.243303,78.137044,2,1,0,1,2,1.0,0,0,39
21.0,4.9,21.157729,72.768726,21.247729,72.858726,1,2,2,0,3,1.0,0,0,21
35.0,4.9,26.902328,75.794257,26.932328,75.824257,1,3,2,2,1,0.0,0,0,18
22.0,4.8,26.90519,75.810753,26.99519,75.900753,2,1,1,3,3,1.0,0,2,22
28.0,4.8,17.428294,78.404423,17.448294,78.424423,1,2,0,0,2,1.0,0,0,23
39.0,4.0,12.316967,76.603067,12.446967,76.733067,3,3,0,1,2,0.0,0,0,48
